0.1787271946668625
144,38,0.17841553688049316
245,73,0.178324356675148
265,75,0.17828825116157532
313,82,0.17819741368293762
147,73,0.1781546026468277
31,66,0.17804910242557526
306,73,0.17800652980804443
265,3,0.17798897624015808
247,85,0.17792953550815582
299,64,0.17764988541603088
31,101,0.17745962738990784
132,27,0.17739930748939514
237,81,0.17722254991531372
203,23,0.17711295187473297
218,95,0.17710573971271515
265,57,0.17707765102386475
22,39,0.17685368657112122
300,28,0.1766502559185028
152,52,0.17664028704166412
312,78,0.176599383354187
184,43,0.176585391163826
323,75,0.17658379673957825
140,21,0.17656667530536652
30,33,0.1765180081129074
307,28,0.1764339655637741
148,83,0.17638389766216278
274,85,0.17625369131565094
130,24,0.17611898481845856
237,80,0.17610932886600494
264,63,0.17596018314361572
164,46,0.17592613399028778
255,44,0.17565810680389404
264,75,0.17553198337554932
150,51,0.17552629113197327
148,43,0.175467386841774
235,43,0.175198033452034
308,83,0.1751524657011032
267,5,0.17503991723060608
294,99,0.17497459053993225
6,3,0.17486394941806793
221,88,0.17466944456100464
212,1,0.17441946268081665
316,83,0.17416779696941376
228,82,0.17398706078529358
255,33,0.1739867478609085
330,105,0.17392942309379578
225,28,0.17387619614601135
202,102,0.17386528849601746
91,75,0.17385677993297577
81,75,0.17384696006774902
252,78,0.17347024381160736
255,56,0.1734640747308731
73,75,0.1734308898448944
128,5,0.17340269684791565
264,88,0.17330986261367798
174,46,0.17322680354118347
307,5,0.17310693860054016
47,88,0.17285475134849548
6,62,0.1728147268295288
2,88,0.17275585234165192
309,46,0.1725955307483673
325,82,0.17250250279903412
177,93,0.1724119633436203
255,62,0.1723516583442688
143,33,0.1721877008676529
247,72,0.1721440553665161
271,110,0.1720212697982788
310,27,0.17178700864315033
22,38,0.1716461479663849
148,3,0.17144092917442322
38,72,0.17135843634605408
247,78,0.17114605009555817
297,28,0.17110976576805115
39,0,0.1710011214017868
206,25,0.17086565494537354
6,56,0.17082740366458893
177,99,0.17078161239624023
23,105,0.17067965865135193
249,42,0.170618936419487
71,108,0.1706172078847885
147,36,0.17053157091140747
41,68,0.17047624289989471
310,28,0.17037293314933777
20,109,0.17035622894763947
75,53,0.17034122347831726
177,27,0.17032787203788757
45,28,0.17030483484268188
6,95,0.17018266022205353
290,99,0.17015348374843597
314,2,0.17013399302959442
145,99,0.16996975243091583
255,77,0.16994552314281464
46,92,0.16991335153579712
261,39,0.1697380095720291
15,73,0.16960738599300385
265,21,0.16957415640354156
274,105,0.16951043903827667
19,27,0.16939115524291992
32,67,0.1691572666168213
138,52,0.16912002861499786
29,23,0.16908979415893555
271,16,0.16901209950447083
120,111,0.168969988822937
158,73,0.168869748711586
152,94,0.16878585517406464
148,88,0.16872157156467438
10,74,0.16853636503219604
220,39,0.16848836839199066
218,26,0.16813300549983978
51,27,0.16792558133602142
24,54,0.16768188774585724
264,59,0.1676032990217209
196,27,0.1673702448606491
92,110,0.16733762621879578
207,45,0.16730883717536926
36,17,0.16716638207435608
38,64,0.16715148091316223
113,42,0.16712944209575653
196,73,0.1669865995645523
64,24,0.16697397828102112
314,94,0.1667553186416626
223,28,0.16665858030319214
36,98,0.1666175276041031
147,5,0.16654491424560547
66,75,0.16648609936237335
20,87,0.16643767058849335
219,105,0.16642725467681885
38,89,0.16640330851078033
270,105,0.16638942062854767
295,1,0.1663801521062851
135,78,0.16631631553173065
222,67,0.16619104146957397
261,43,0.16605982184410095
274,72,0.1659773886203766
107,16,0.1659306287765503
249,91,0.1659110188484192
201,16,0.1659058779478073
243,1,0.1658906489610672
265,81,0.1658797562122345
246,54,0.16586601734161377
270,1,0.1657596081495285
26,37,0.16564439237117767
6,49,0.1655431091785431
235,24,0.16544800996780396
167,28,0.16540157794952393
16,99,0.16539695858955383
148,81,0.16537438333034515
231,82,0.16536551713943481
301,99,0.1651240885257721
316,84,0.1651109904050827
23,108,0.16487814486026764
38,43,0.16479183733463287
139,78,0.16471058130264282
185,108,0.16461141407489777
255,3,0.16453078389167786
271,88,0.16452014446258545
2,93,0.164462149143219
32,43,0.16441604495048523
298,2,0.1643330156803131
6,76,0.1642896831035614
241,0,0.16414296627044678
32,28,0.16402781009674072
240,110,0.164019376039505
7,52,0.16374698281288147
242,80,0.16354548931121826
130,1,0.1635432094335556
219,71,0.1635149121284485
0,91,0.16342796385288239
253,46,0.1633845865726471
27,17,0.16333405673503876
7,39,0.16310659050941467
235,10,0.1630612313747406
46,67,0.16304270923137665
186,105,0.1628366857767105
148,37,0.16275493800640106
264,27,0.16261668503284454
32,32,0.16260653734207153
307,105,0.16245830059051514
282,99,0.16236534714698792
20,74,0.1620468944311142
297,77,0.16190727055072784
68,27,0.16187995672225952
317,88,0.16185544431209564
135,1,0.16184133291244507
293,54,0.16182899475097656
136,46,0.16163495182991028
32,1,0.16155290603637695
7,80,0.16128459572792053
38,22,0.16127872467041016
46,55,0.1612735390663147
48,13,0.16107095777988434
165,70,0.16105158627033234
202,17,0.16102711856365204
148,10,0.16078950464725494
262,52,0.16076798737049103
52,102,0.1606045812368393
59,99,0.16060346364974976
310,78,0.16055069863796234
76,38,0.1603287309408188
52,73,0.1603247970342636
319,9,0.1602848619222641
301,22,0.16018804907798767
206,71,0.1601792275905609
20,93,0.160161554813385
55,38,0.16015562415122986
147,44,0.1600230187177658
39,79,0.159992516040802
271,104,0.1598777323961258
3,108,0.15982697904109955
4,108,0.15982697904109955
5,108,0.15982697904109955
8,108,0.15982697904109955
15,24,0.15978023409843445
