model,mean_roc_auc,std_roc_auc,mean_aupr,mean_accuracy,mean_f1
dnn,0.7340659340659341,0.13134128577653878,0.6410286927104706,0.7300000000000001,0.5504895104895106
logistic,0.728021978021978,0.10891046854271384,0.6355419201377848,0.74,0.5224242424242423
lightgbm,0.728021978021978,0.11337832169298748,0.6409782127691791,0.72,0.3517460317460317
xgboost,0.6923076923076923,0.13332150855265817,0.5820268858780578,0.7,0.44952380952380955
rf,0.6913919413919414,0.147834081105252,0.6171112572743489,0.76,0.4720923520923521
svm,0.680952380952381,0.10790732565356818,0.6031626630634259,0.7399999999999999,0.3633333333333333
