,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,0,0.07496322,0.304051121,0.008368201,0.304051121,0.475531084,0.032258637,0.026217688,0.842271159,0.475531084,0.193613418,0.060606061,0.302808285,0.026217688,0.163074998,0.23822486,0.193613418,1,0.304051121,0.032258637,0.304051121,0.304051121,0.842271159,0.23822486,0.193613418,0.144176356,0.243677156,0.163074998,0.475531084,0.163074998,0.193613418,0.193613418,0.142026452,0.23822486,0.193613418,0.163074998,0.222127095,0.193613418,0.163074998,0.372579866,0.191489362,0.191489362,0.060606061,0.302808285,0.23822486,0.304051121,0.026217688,0.23822486,0.193613418,0.193613418,0.372579866,0.029411765,0.011627907,0.054521373,0.302808285,0.142026452,0.193613418,0.02739726,0.142026452,0.372579866,0.23822486,0.132409048,0.025084784,0.041172339,0.193613418,0.163074998,0.302808285,0.243677156,0.035502959,0.038135593,0,0,0.032258637,0.032258637,0.163074998,0.12745019,0.163074998,0.12745019,0.304051121,0.23822486,1,0.163074998,0.372579866,0,0.126760563,0.479833079,0.054521373,0.07496322,0.142026452,0.054521373,0.063671527,0.184015148,0.23822486,0.23822486,0.107359913,0.163074998,0.193613418,0.045226131,0.243677156,0,0.475531084,0.304051121,0.733556862,0.372579866,0.193613418,0.23822486,0.23822486,0.23822486,0.193613418,0.475531084,0.026455026,0.139896373
1,0.07496322,0,0.093360272,0.018404908,0.093360272,0.093360272,0.086247086,0.07496322,0.069898901,0.093360272,0.07496322,0,0.07496322,0.07496322,0.069898901,0.082379097,0.07496322,0,0.093360272,0.087885986,0.093360272,0.093360272,0.069898901,0.082379097,0.07496322,0.082379097,0.109892388,0.069898901,0.093360272,0.069898901,0.07496322,0.07496322,0.066414066,0.082379097,0.07496322,0.069898901,0.066414066,0.07496322,0.069898901,0.082379097,0,0,0.093360272,0.07496322,0.082379097,0.093360272,0.07496322,0.082379097,0.07496322,0.07496322,0.082379097,0,0,0.109892388,0.07496322,0.066414066,0.07496322,0,0.066414066,0.082379097,0.082379097,0.109892388,0.062546377,0.093360272,0.07496322,0.069898901,0.07496322,0.109892388,0,0,0.051172708,0,0.082379097,0.082379097,0.069898901,0.064003532,0.069898901,0.064003532,0.093360272,0.082379097,0.07496322,0.069898901,0.082379097,0,0,0.176370951,0.266881514,0.135412554,0.066414066,0.109892388,0.07496322,0.093360272,0.082379097,0.082379097,0.176370951,0.069898901,0.07496322,0,0.109892388,0.061696658,0.093360272,0.093360272,0.066414066,0.082379097,0.07496322,0.082379097,0.082379097,0.082379097,0.07496322,0.093360272,0,0
2,0.304051121,0.093360272,0,0.013888889,0.421998728,0.421998728,0.047619921,0.041172339,0.271481054,0.421998728,0.304051121,0,0.304051121,0.041172339,0.271481054,0.351665478,0.304051121,0.046153846,0.421998728,0.047619921,0.421998728,0.421998728,0.271481054,0.549999175,0.475531084,0.21283189,0.319248128,0.271481054,0.421998728,0.643321971,0.720502458,0.720502458,0.24904353,0.351665478,0.304051121,0.271481054,0.24904353,0.304051121,0.271481054,0.351665478,0.056603774,0.056603774,0.057143926,0.304051121,0.351665478,0.421998728,0.041172339,0.351665478,0.304051121,0.304051121,0.351665478,0.049723757,0.020134228,0.071429946,0.304051121,0.24904353,0.304051121,0.045918367,0.24904353,0.351665478,0.351665478,0.173472727,0.036757459,0.303797468,0.304051121,0.271481054,0.304051121,0.319248128,0,0.056338028,0,0,0.047619921,0.246575342,0.643321971,0.233510809,0.271481054,0.233510809,0.421998728,0.351665478,0.304051121,0.271481054,0.351665478,0,0.063157895,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.833333028,0.351665478,0.128249503,0.271481054,0.304051121,0.068181818,0.319248128,0,0.421998728,0.421998728,0.24904353,0.351665478,0.304051121,0.351665478,0.351665478,0.351665478,0.720502458,0.421998728,0.036144578,0.176470588
3,0.008368201,0.018404908,0.013888889,0,0.02173913,0.020661157,0.034782609,0,0,0.013636364,0,0,0.02991453,0,0.274647887,0.013636364,0.041666667,0.008368201,0.013274336,0.053097345,0.042056075,0.021008403,0.007194245,0.0125,0,0.02278481,0.043269231,0.027131783,0.023364486,0,0.006257822,0.006257822,0.018939394,0.008928571,0.025,0.025,0.031088083,0.02278481,0.046875,0.037656904,0.02734375,0.02734375,0,0.02991453,0.024509804,0.013274336,0.0625,0.018939394,0.024691358,0.024691358,0,0.008888889,0.031088083,0,0,0.03358209,0.035019455,0.025,0.037878788,0,0.14159292,0.394736842,0.054054054,0,0,0.056603774,0,0.067567568,0,0.035019455,0,0,0,0,0.02690583,0.039408867,0.081081081,0,0,0.092936803,0.008368201,0,0.009569378,0.046728972,0.02991453,0.203703704,0,0.087591241,0.031088083,0.053763441,0.046875,0.046875,0.006257822,0.040909091,0,0.054455446,0,0.013636364,0.043269231,0,0.013636364,0.013274336,0,0.013636364,0.043269231,0.172268908,0.008928571,0,0.006257822,0.023364486,0.085714286,0.042056075
4,0.304051121,0.093360272,0.421998728,0.02173913,0,0.421998728,0.047619921,0.041172339,0.271481054,0.421998728,0.475531084,0,0.304051121,0.041172339,0.271481054,0.351665478,0.304051121,0.071770335,0.421998728,0.047619921,0.421998728,0.659999252,0.271481054,0.351665478,0.304051121,0.21283189,0.319248128,0.424592019,0.421998728,0.271481054,0.304051121,0.304051121,0.307692308,0.351665478,0.304051121,0.271481054,0.24904353,0.304051121,0.271481054,0.351665478,0.185840708,0.185840708,0.057143926,0.304051121,0.351665478,0.421998728,0.041172339,0.351665478,0.720502458,0.720502458,0.351665478,0.179487179,0.030674847,0.071429946,0.304051121,0.24904353,0.304051121,0.071428571,0.24904353,0.351665478,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.304051121,0.319248128,0,0.237885463,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,0.421998728,0.351665478,0.304051121,0.271481054,0.351665478,0,0.088235294,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.094736842,0.319248128,0,0.421998728,0.421998728,0.24904353,0.351665478,0.304051121,0.351665478,0.351665478,0.351665478,0.304051121,0.421998728,0.044444444,0.195652174
5,0.475531084,0.093360272,0.421998728,0.020661157,0.421998728,0,0.047619921,0.041172339,0.424592019,0.659999252,0.304051121,0.071428571,0.475531084,0.041172339,0.271481054,0.351665478,0.304051121,0.312217195,0.421998728,0.047619921,0.421998728,0.421998728,0.424592019,0.351665478,0.304051121,0.21283189,0.319248128,0.271481054,0.659999252,0.271481054,0.304051121,0.304051121,0.24904353,0.351665478,0.304051121,0.271481054,0.389500093,0.304051121,0.271481054,0.549999175,0.705882353,0.705882353,0.071428571,0.475531084,0.351665478,0.421998728,0.041172339,0.351665478,0.304051121,0.304051121,0.549999175,0.169082126,0.028571429,0.071429946,0.720502458,0.24904353,0.304051121,0.067567568,0.24904353,0.549999175,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.475531084,0.319248128,0.046511628,0.075313808,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,0.421998728,0.351665478,0.475531084,0.271481054,0.549999175,0,0.194444444,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.089108911,0.319248128,0,0.659999252,0.421998728,0.389500093,0.549999175,0.304051121,0.351665478,0.351665478,0.351665478,0.304051121,0.659999252,0.041666667,0.183673469
6,0.032258637,0.086247086,0.047619921,0.034782609,0.047619921,0.047619921,0,0.078342404,0.028013277,0.047619921,0.032258637,0,0.032258637,0.078342404,0.028013277,0.03846223,0.032258637,0,0.047619921,0.444229946,0.047619921,0.047619921,0.028013277,0.03846223,0.032258637,0.03846223,0.061343273,0.028013277,0.047619921,0.028013277,0.032258637,0.032258637,0.025087767,0.03846223,0.032258637,0.028013277,0.025087767,0.032258637,0.028013277,0.03846223,0,0,0.115648379,0.032258637,0.03846223,0.047619921,0.078342404,0.03846223,0.032258637,0.032258637,0.03846223,0,0,0.14897652,0.032258637,0.025087767,0.032258637,0,0.025087767,0.03846223,0.03846223,0.061343273,0.133274986,0.115648379,0.032258637,0.028013277,0.032258637,0.061343273,0,0,0,0,0.093408273,0.093408273,0.028013277,0.023062118,0.028013277,0.023062118,0.047619921,0.03846223,0.032258637,0.028013277,0.03846223,0,0,0.115768709,0.061343273,0.082379097,0.025087767,0.14897652,0.032258637,0.047619921,0.03846223,0.03846223,0.115768709,0.028013277,0.032258637,0,0.061343273,0,0.047619921,0.047619921,0.025087767,0.03846223,0.032258637,0.03846223,0.03846223,0.03846223,0.032258637,0.047619921,0,0
7,0.026217688,0.07496322,0.041172339,0,0.041172339,0.041172339,0.078342404,0,0.022082402,0.041172339,0.026217688,0,0.026217688,0.681647619,0.044444444,0.032258637,0.026217688,0,0.041172339,0.078342404,0.041172339,0.041172339,0.022082402,0.032258637,0.026217688,0.032258637,0.054521373,0.022082402,0.041172339,0.022082402,0.026217688,0.026217688,0.019232165,0.032258637,0.026217688,0.022082402,0.019232165,0.026217688,0.022082402,0.032258637,0,0,0.099989966,0.026217688,0.032258637,0.041172339,0.063671527,0.032258637,0.026217688,0.026217688,0.032258637,0,0,0.132409048,0.026217688,0.019232165,0.026217688,0,0.046195652,0.032258637,0.056603774,0.054521373,0.173076923,0.099989966,0.026217688,0.050505051,0.026217688,0.054521373,0,0,0,0.27027027,0.078342404,0.078342404,0.022082402,0.047619048,0.022082402,0.017258356,0.041172339,0.032258637,0.026217688,0.022082402,0.032258637,0,0,0.107359913,0.054521373,0.07496322,0.019232165,0.132409048,0.026217688,0.041172339,0.032258637,0.032258637,0.278481013,0.04787234,0.026217688,0,0.054521373,0,0.041172339,0.041172339,0.019232165,0.032258637,0.026217688,0.032258637,0.032258637,0.032258637,0.026217688,0.041172339,0.051020408,0.04
8,0.842271159,0.069898901,0.271481054,0,0.271481054,0.424592019,0.028013277,0.022082402,0,0.424592019,0.163074998,0,0.255046685,0.022082402,0.133086931,0.206873557,0.163074998,0,0.271481054,0.028013277,0.271481054,0.271481054,0.687384851,0.206873557,0.163074998,0.125202196,0.222834703,0.133086931,0.424592019,0.133086931,0.163074998,0.163074998,0.112414826,0.206873557,0.163074998,0.133086931,0.175814988,0.163074998,0.133086931,0.32354693,0,0,0.036761943,0.255046685,0.206873557,0.271481054,0.022082402,0.206873557,0.163074998,0.163074998,0.32354693,0,0,0.049857993,0.255046685,0.112414826,0.163074998,0,0.112414826,0.32354693,0.206873557,0.121083697,0.02182825,0.036761943,0.163074998,0.133086931,0.255046685,0.222834703,0,0,0,0,0.028013277,0.028013277,0.133086931,0.098097872,0.133086931,0.098097872,0.271481054,0.206873557,0.842271159,0.133086931,0.32354693,0,0,0.454209032,0.049857993,0.069898901,0.112414826,0.049857993,0.053628691,0.164303377,0.206873557,0.206873557,0.101626678,0.133086931,0.163074998,0,0.222834703,0,0.424592019,0.271481054,0.580614852,0.32354693,0.163074998,0.206873557,0.206873557,0.206873557,0.163074998,0.424592019,0,0
9,0.475531084,0.093360272,0.421998728,0.013636364,0.421998728,0.659999252,0.047619921,0.041172339,0.424592019,0,0.304051121,0.082191781,0.475531084,0.041172339,0.271481054,0.351665478,0.304051121,0.316582915,0.421998728,0.047619921,0.421998728,0.421998728,0.424592019,0.351665478,0.304051121,0.21283189,0.319248128,0.271481054,0.659999252,0.271481054,0.304051121,0.304051121,0.24904353,0.351665478,0.304051121,0.271481054,0.389500093,0.304051121,0.271481054,0.549999175,0.305555556,0.305555556,0.082191781,0.475531084,0.351665478,0.421998728,0.041172339,0.351665478,0.304051121,0.304051121,0.833333028,0.048648649,0.019607843,0.071429946,0.475531084,0.24904353,0.304051121,0.045,0.24904353,0.549999175,0.351665478,0.173472727,0.036757459,0.057143926,0.304051121,0.271481054,0.475531084,0.319248128,0.053333333,0.055299539,0,0,0.047619921,0.047619921,0.271481054,0.233510809,0.271481054,0.233510809,0.421998728,0.351665478,0.475531084,0.271481054,0.549999175,0,0.18556701,0.573196756,0.071429946,0.093360272,0.24904353,0.071429946,0.099989966,0.255398362,0.351665478,0.351665478,0.128249503,0.271481054,0.304051121,0.066666667,0.319248128,0,1,0.421998728,0.389500093,0.549999175,0.304051121,0.351665478,0.351665478,0.351665478,0.304051121,0.659999252,0.035294118,0.172413793
10,0.193613418,0.07496322,0.304051121,0,0.475531084,0.304051121,0.032258637,0.026217688,0.163074998,0.304051121,0,0,0.193613418,0.026217688,0.163074998,0.23822486,0.193613418,0,0.304051121,0.032258637,0.304051121,0.720502458,0.163074998,0.23822486,0.193613418,0.144176356,0.243677156,0.842271159,0.304051121,0.163074998,0.193613418,0.193613418,0.142026452,0.23822486,0.193613418,0.163074998,0.142026452,0.193613418,0.163074998,0.23822486,0,0,0.041172339,0.193613418,0.23822486,0.304051121,0.026217688,0.23822486,0.302808285,0.302808285,0.23822486,0,0,0.054521373,0.193613418,0.142026452,0.193613418,0,0.142026452,0.23822486,0.23822486,0.132409048,0.025084784,0.041172339,0.193613418,0.163074998,0.193613418,0.243677156,0,0,0,0,0.032258637,0.032258637,0.163074998,0.12745019,0.163074998,0.12745019,0.304051121,0.23822486,0.193613418,0.163074998,0.23822486,0,0,0.479833079,0.054521373,0.07496322,0.142026452,0.054521373,0.063671527,0.184015148,0.23822486,0.23822486,0.107359913,0.163074998,0.193613418,0,0.243677156,0,0.304051121,0.304051121,0.142026452,0.23822486,0.193613418,0.23822486,0.23822486,0.23822486,0.193613418,0.304051121,0,0
