1,34,1.0
1,42,1.0
6,11,1.0
6,24,1.0
6,42,1.0
6,54,1.0
19,21,1.0
19,42,1.0
20,29,1.0
20,76,1.0
20,91,1.0
20,102,1.0
26,34,1.0
26,42,1.0
27,110,1.0
30,7,1.0
30,54,1.0
30,72,1.0
30,81,1.0
30,82,1.0
30,102,1.0
31,82,1.0
32,16,1.0
33,9,1.0
33,53,1.0
33,82,1.0
34,9,1.0
34,23,1.0
34,42,1.0
34,53,1.0
34,82,1.0
36,42,1.0
37,21,1.0
37,29,1.0
37,102,1.0
39,21,1.0
39,42,1.0
40,42,1.0
42,21,1.0
42,34,1.0
43,23,1.0
43,71,1.0
43,72,1.0
43,82,1.0
44,9,1.0
44,23,1.0
44,53,1.0
44,82,1.0
45,9,1.0
45,53,1.0
45,82,1.0
46,42,1.0
47,34,1.0
48,42,1.0
48,82,1.0
57,42,1.0
88,42,1.0
100,9,1.0
100,23,1.0
120,9,1.0
121,9,1.0
127,11,1.0
130,9,1.0
130,23,1.0
131,23,1.0
135,42,1.0
147,34,1.0
177,11,1.0
178,20,1.0
178,51,1.0
179,11,1.0
179,20,1.0
179,51,1.0
180,20,1.0
180,51,1.0
181,20,1.0
181,51,1.0
182,20,1.0
182,51,1.0
183,20,1.0
183,51,1.0
184,11,1.0
184,20,1.0
185,20,1.0
185,51,1.0
186,20,1.0
186,51,1.0
187,20,1.0
187,51,1.0
188,20,1.0
188,51,1.0
189,20,1.0
189,51,1.0
207,11,1.0
237,54,1.0
245,42,1.0
248,9,1.0
256,9,1.0
256,23,1.0
257,9,1.0
257,23,1.0
